,p_id,lat,lon,o_id,p_date,accuracy,Name,ID,NumberViews,NumberFavorites,title,tags,url
73,10899680,51.500959,-0.083094,65672777@N00,2004-04-20 11:05:33,16,Lee McEwan,10899680,48,0,"Flat 2, 8 Tyers Gate 2004",londonbridge 2004 london,https://live.staticflickr.com/7/10899680_29717f35ab_m.jpg
74,11033253,51.504882,-0.078256,55953604@N00,2004-07-02 15:25:22,14,,11033253,43,0,britishpessimists1,london pessimists,https://live.staticflickr.com/7/11033253_21293ce888_m.jpg
75,11033256,51.504882,-0.078256,55953604@N00,2004-07-02 13:43:05,14,,11033256,26,0,Thames Barge,london,https://live.staticflickr.com/6/11033256_88dc5808cb_m.jpg
76,11033258,51.504882,-0.078256,55953604@N00,2004-07-02 15:24:51,14,,11033258,124,0,Pessimists in front of Tower Bridge,london pessimists,https://live.staticflickr.com/7/11033258_35e491f7cf_m.jpg
77,11518503,51.5047,-0.0788,56545618@N00,2005-04-29 14:24:21,16,Dan,11518503,71,1,Grey meets brown,london uk cityhall morelondon pavement walkway geolat515047 geolon00788 geotagged,https://live.staticflickr.com/6/11518503_3da5b3fcf9_m.jpg
78,11518509,51.5047,-0.0788,56545618@N00,2005-04-29 14:34:52,16,Dan,11518509,110,0,City Hall walkway,uk london geotagged cityhall walkway geo:lat=515047 geo:lon=00788 osm:way=8877349,https://live.staticflickr.com/10/11518509_8939d65f5a_m.jpg
79,11518511,51.5047,-0.0788,56545618@N00,2005-04-29 14:37:08,16,Dan,11518511,204,1,Walking up to the first floor,uk london glass architecture geotagged cityhall tiles walkway geo:lat=515047 geo:lon=00788 osm:way=8877349,https://live.staticflickr.com/6/11518511_ca79f5ef52_m.jpg
80,11518512,51.5047,-0.0788,56545618@N00,2005-04-29 14:50:42,16,Dan,11518512,105,0,Photo exhibit in City Hall,uk london bench geotagged photos cityhall exhibition geo:lat=515047 geo:lon=00788 osm:way=8877349,https://live.staticflickr.com/10/11518512_3977a9a00e_m.jpg
81,11518514,51.5047,-0.0788,56545618@N00,2005-04-29 14:55:20,16,Dan,11518514,301,0,Nelson Mandela statue,uk london statue geotagged cityhall olympics nelsonmandela geo:lat=515047 geo:lon=00788 osm:way=8877349,https://live.staticflickr.com/8/11518514_b8f7c37a5c_m.jpg
82,11518515,51.5047,-0.0788,56545618@N00,2005-04-29 14:53:34,16,Dan,11518515,139,0,Poem in City Hall,uk london geotagged poem cityhall text geo:lat=515047 geo:lon=00788 osm:way=8877349,https://live.staticflickr.com/8/11518515_2e3f0f028c_m.jpg
83,11518517,51.5047,-0.0788,56545618@N00,2005-04-29 15:00:21,16,Dan,11518517,419,0,Walking in Regent's Park,london uk aerialphoto converse regentspark cityhall pentagram geolat515047 geolon00788 geotagged red,https://live.staticflickr.com/8/11518517_67ce86b2c9_m.jpg
84,11765744,51.504769,-0.078524,15179025@N00,2005-05-01 10:21:48,16,Steve James,11765744,71,0,City Hall,london cityhall,https://live.staticflickr.com/7/11765744_5ddcc50d5b_m.jpg
85,11766394,51.504769,-0.078524,15179025@N00,2005-05-01 10:30:27,16,Steve James,11766394,56,0,City Hall,london cityhall,https://live.staticflickr.com/6/11766394_22cef7831c_m.jpg
86,11767453,51.504769,-0.078524,15179025@N00,2005-05-01 10:56:06,16,Steve James,11767453,126,0,City Hall,london cityhall,https://live.staticflickr.com/6/11767453_bf658c2850_m.jpg
87,11767513,51.504835,-0.079414,15179025@N00,2005-05-01 11:07:43,16,Steve James,11767513,37,0,Earth from the Air exhibition,earthfromtheair,https://live.staticflickr.com/7/11767513_d022c5ecc9_m.jpg
88,11767557,51.504835,-0.079414,15179025@N00,2005-05-01 11:08:41,16,Steve James,11767557,42,0,Earth from the Air exhibition,earthfromtheair,https://live.staticflickr.com/11/11767557_af66d04b91_m.jpg
89,11767666,51.504835,-0.079414,15179025@N00,2005-05-01 11:11:04,16,Steve James,11767666,109,0,Earth from the Air exhibition,earthfromtheair,https://live.staticflickr.com/7/11767666_6e9eb1fec5_m.jpg
90,11767786,51.504835,-0.079414,15179025@N00,2005-05-01 11:11:41,16,Steve James,11767786,155,0,Earth from the Air exhibition,earthfromtheair wwwearthfromtheaircom,https://live.staticflickr.com/8/11767786_330e934984_m.jpg
91,11767825,51.504769,-0.078524,15179025@N00,2005-05-01 11:12:46,16,Steve James,11767825,95,1,City Hall,london cityhall,https://live.staticflickr.com/7/11767825_42604373e9_m.jpg
92,11982915,51.504522,-0.079178,59528127@N00,2005-05-02 17:24:27,14,,11982915,848,4,Weee Man,city 15fav man london topv111 statue hall topv weee rsa se1,https://live.staticflickr.com/6/11982915_04cdbcaf66_m.jpg
93,12365719,51.505323,-0.081195,63113103@N00,2005-05-01 09:47:55,12,,12365719,13,0,DSC01487.JPG,weeeman,https://live.staticflickr.com/9/12365719_a51f4b9f91_m.jpg
94,12365845,51.505323,-0.081195,63113103@N00,2005-05-01 09:48:20,12,,12365845,14,0,DSC01488.JPG,weeeman,https://live.staticflickr.com/10/12365845_da041fb4ee_m.jpg
95,12365939,51.505323,-0.081195,63113103@N00,2005-05-01 09:48:33,12,,12365939,17,0,DSC01489.JPG,weeeman,https://live.staticflickr.com/9/12365939_306270bc1d_m.jpg
96,12366056,51.505323,-0.081195,63113103@N00,2005-05-01 09:48:44,12,,12366056,86,0,WEEE Man,weeeman,https://live.staticflickr.com/8/12366056_277241ea49_m.jpg
97,12366248,51.505323,-0.081195,63113103@N00,2005-05-01 09:48:58,12,,12366248,37,0,DSC01491.JPG,weeeman,https://live.staticflickr.com/10/12366248_f5829a9278_m.jpg
98,12366401,51.505323,-0.081195,63113103@N00,2005-05-01 09:49:12,12,,12366401,28,0,DSC01492.JPG,weeeman,https://live.staticflickr.com/8/12366401_837ad88aea_m.jpg
99,12366581,51.505323,-0.081195,63113103@N00,2005-05-01 09:49:42,12,,12366581,22,0,DSC01493.JPG,weeeman,https://live.staticflickr.com/8/12366581_8aa6f28eab_m.jpg
