Count,Date,Time,Lat,Long,Speed,Altitude,GSR,normalised_gsr,time_audio,rms,centroid_hz,bandwidth_hz,flatness
3007,27/5/2018,15:50:42,51.544521,-0.032967,4.78,7.8,497,-0.3463655855821053,22.002439024390245,153.98797384776756,2.2378137339667847,4.652998740685918,1.817065785885119e-10
3008,27/5/2018,15:50:43,51.54451,-0.032969,3.67,7.8,494,-0.40576406729896286,22.009756097560977,156.77312902124984,2.2729909522883,4.627503593695493,1.6586420490797629e-10
3009,27/5/2018,15:50:44,51.544502,-0.03297,3.63,7.8,494,-0.40576406729896286,22.01707317073171,157.1733492460189,2.268279353350709,4.617885446802765,1.6977899254782977e-10
3010,27/5/2018,15:50:45,51.544495,-0.03297,2.78,7.8,495,-0.38596457339334367,22.02439024390244,156.12836489880908,2.2393962351417884,4.617888322547522,1.856660731363676e-10
3011,27/5/2018,15:50:46,51.544483,-0.032973,3.57,7.8,496,-0.3661650794877245,22.03170731707317,155.08338055159976,2.2105131169328818,4.617891198292279,2.015531537248977e-10
3012,27/5/2018,15:50:46,51.544483,-0.032973,3.57,7.4,498,-0.3265660916764861,22.039024390243902,154.15385586168696,2.1949386135024027,4.622564627415701,2.1268525795021697e-10
3013,27/5/2018,15:50:47,51.544476,-0.032972,3.07,7.4,494,-0.40576406729896286,22.046341463414635,153.3658586049951,2.195677462574558,4.632963098920842,2.1798883630366774e-10
3014,27/5/2018,15:50:48,51.544468,-0.032971,3.87,7.4,495,-0.38596457339334367,22.053658536585367,152.5778613483033,2.196416311646713,4.643361570425984,2.232924146571185e-10
3015,27/5/2018,15:50:49,51.54446,-0.032972,3.32,7.4,496,-0.3661650794877245,22.0609756097561,152.4194805476725,2.1974471573404637,4.640733085406028,2.215970837565008e-10
3016,27/5/2018,15:50:49,51.54446,-0.032972,3.32,7.4,497,-0.3463655855821053,22.06829268292683,153.9136273221275,2.199244394167059,4.603913300794185,2.0153201295068997e-10
3017,27/5/2018,15:50:50,51.544453,-0.03297,3.0,7.4,494,-0.40576406729896286,22.075609756097563,155.4077740965825,2.2010416309936547,4.56709351618234,1.8146694214487916e-10
3018,27/5/2018,15:50:51,51.544445,-0.032968,3.28,7.4,495,-0.38596457339334367,22.082926829268295,156.84593504376568,2.202826763683206,4.538992091615822,1.6574813971810567e-10
3019,27/5/2018,15:50:52,51.544434,-0.032966,3.82,7.4,495,-0.38596457339334367,22.090243902439024,157.79384841497344,2.2045059048364277,4.587234182667063,1.8808803252173807e-10
3020,27/5/2018,15:50:53,51.544422,-0.032967,3.78,7.4,495,-0.38596457339334367,22.097560975609756,158.74176178618163,2.2061850459896504,4.635476273718328,2.1042792532538127e-10
3021,27/5/2018,15:50:53,51.544422,-0.032967,3.78,7.1,497,-0.3463655855821053,22.10487804878049,159.68967515738984,2.2078641871428726,4.683718364769591,2.327678181290245e-10
3022,27/5/2018,15:50:54,51.544411,-0.032968,3.98,7.1,493,-0.42556356120458205,22.11219512195122,160.5750130851094,2.2187278293709345,4.7387626219481565,2.3061311591590787e-10
3023,27/5/2018,15:50:55,51.544403,-0.032972,3.76,7.1,495,-0.38596457339334367,22.119512195121953,161.45557589356497,2.2302923389930913,4.794325951029376,2.2658923617872864e-10
3024,27/5/2018,15:50:55,51.544403,-0.032972,3.76,7.2,497,-0.3463655855821053,22.126829268292685,162.33613870202058,2.2418568486152486,4.849889280110595,2.2256535644154945e-10
3025,27/5/2018,15:50:56,51.544388,-0.032973,5.06,7.2,493,-0.42556356120458205,22.134146341463417,163.34772919518224,2.2325434141182523,4.824922892082814,2.148702860762117e-10
3026,27/5/2018,15:50:57,51.544376,-0.032975,4.76,7.2,495,-0.38596457339334367,22.14146341463415,164.40167630736465,2.216480878261682,4.773924093003221,2.0598844954662158e-10
3027,27/5/2018,15:50:58,51.544369,-0.032976,3.43,7.2,495,-0.38596457339334367,22.148780487804878,165.45562341954655,2.2004183424051194,4.7229252939236535,1.9710661301703582e-10
3028,27/5/2018,15:50:59,51.544357,-0.032972,3.82,7.2,494,-0.40576406729896286,22.15609756097561,167.11334648364945,2.2008559581563367,4.7089984509878695,2.083845141957188e-10
3029,27/5/2018,15:50:59,51.544357,-0.032972,3.82,6.9,497,-0.3463655855821053,22.163414634146342,169.20415183102222,2.213128963028089,4.721662941080461,2.341227879829002e-10
3030,27/5/2018,15:51:0,51.544346,-0.03297,3.91,6.9,493,-0.42556356120458205,22.170731707317074,171.29495717839498,2.225401967899841,4.734327431173052,2.5986106177008166e-10
3031,27/5/2018,15:51:1,51.544334,-0.032969,4.41,6.9,493,-0.42556356120458205,22.178048780487806,173.5122085787902,2.231393721694576,4.752617651214119,2.7439017001110914e-10
3032,27/5/2018,15:51:2,51.544323,-0.032966,4.22,6.9,494,-0.40576406729896286,22.18536585365854,175.9122341260681,2.228306107019388,4.779039702714903,2.7271675060501496e-10
3033,27/5/2018,15:51:2,51.544323,-0.032966,4.22,7.0,496,-0.3661650794877245,22.19268292682927,178.31225967334603,2.2252184923442004,4.805461754215687,2.7104333119892077e-10
3034,27/5/2018,15:51:3,51.544315,-0.032963,3.44,7.0,492,-0.44536305511020124,22.200000000000003,180.52637934684816,2.2259874061258063,4.835595966374594,2.6150120193160445e-10
3035,27/5/2018,15:51:3,51.544315,-0.032963,3.44,6.7,495,-0.38596457339334367,22.20731707317073,182.13708053274854,2.2392739478958315,4.877779213480905,2.2641859399413788e-10
3036,27/5/2018,15:51:4,51.544304,-0.032963,3.43,6.7,492,-0.44536305511020124,22.214634146341464,183.74778171864975,2.2525604896658633,4.919962460587237,1.9133598605665425e-10
3037,27/5/2018,15:51:4,51.544304,-0.032963,3.43,6.7,495,-0.38596457339334367,22.221951219512196,185.2056967209023,2.2659400633048388,4.961878940703618,1.604086637169777e-10
3038,27/5/2018,15:51:5,51.544296,-0.032961,2.89,6.7,492,-0.44536305511020124,22.229268292682928,184.35732100940314,2.2807239428195416,4.999768602314786,1.9220492251765558e-10
3039,27/5/2018,15:51:5,51.544296,-0.032961,2.89,6.3,495,-0.38596457339334367,22.23658536585366,183.50894529790398,2.295507822334244,5.037658263925954,2.2400118131833346e-10
3040,27/5/2018,15:51:6,51.544285,-0.032961,3.26,6.3,492,-0.44536305511020124,22.243902439024392,182.66056958640482,2.310291701848947,5.075547925537122,2.557974401190114e-10
3041,27/5/2018,15:51:6,51.544285,-0.032961,3.26,6.5,496,-0.3661650794877245,22.251219512195124,175.4725541043553,2.3299154820712547,5.107631393764552,3.237230266175607e-10
3042,27/5/2018,15:51:7,51.544273,-0.032963,3.74,6.5,492,-0.44536305511020124,22.258536585365857,167.49087050338787,2.3501451760409324,5.138987976751222,3.961716927530546e-10
3043,27/5/2018,15:51:8,51.544262,-0.032965,4.04,6.5,495,-0.38596457339334367,22.265853658536585,159.5091869024243,2.370374870010601,5.1703445597378765,4.686203588885133e-10
3044,27/5/2018,15:51:9,51.544247,-0.032964,4.83,6.5,498,-0.3265660916764861,22.273170731707317,151.38951933965365,2.341454845769753,5.220873568924041,5.252763275367727e-10
3045,27/5/2018,15:51:9,51.544247,-0.032964,4.83,6.8,500,-0.2869671038652477,22.28048780487805,143.2149439577631,2.292976723601938,5.279031842381897,5.756479239600829e-10
3046,27/5/2018,15:51:10,51.544231,-0.032964,4.52,6.8,495,-0.38596457339334367,22.28780487804878,135.04036857587255,2.244498601434122,5.3371901158397534,6.260195203833932e-10
3047,27/5/2018,15:51:10,51.544231,-0.032964,4.52,6.8,498,-0.3265660916764861,22.295121951219514,130.32647363841465,2.238969497989275,5.403197148141184,6.060796667374446e-10
3048,27/5/2018,15:51:11,51.544216,-0.032962,4.43,6.8,495,-0.38596457339334367,22.302439024390246,128.53750526905,2.2697404020006027,5.475837859465207,5.267133992255224e-10
3049,27/5/2018,15:51:11,51.544216,-0.032962,4.43,7.1,500,-0.2869671038652477,22.309756097560978,126.74853689968532,2.3005113060119307,5.5484785707892295,4.4734713171360023e-10
3050,27/5/2018,15:51:12,51.544201,-0.032959,5.06,7.1,496,-0.3661650794877245,22.31707317073171,125.73223296898178,2.317141515717093,5.55424751631235,3.864740009587745e-10
3051,27/5/2018,15:51:12,51.544201,-0.032959,5.06,7.2,499,-0.3067665977708669,22.32439024390244,126.03972697112617,2.309544621190601,5.445445762184159,3.5728496874141067e-10
3052,27/5/2018,15:51:13,51.544189,-0.032959,4.2,7.2,496,-0.3661650794877245,22.33170731707317,126.34722097327072,2.3019477266641055,5.336644008055915,3.2809593652403274e-10
3053,27/5/2018,15:51:13,51.544189,-0.032959,4.2,6.8,498,-0.3265660916764861,22.339024390243903,126.00991348631449,2.307812423162364,5.2533927423503375,3.1607471292838606e-10
3054,27/5/2018,15:51:14,51.544174,-0.032963,4.2,6.8,495,-0.38596457339334367,22.346341463414635,123.01348661286036,2.3691918451569127,5.275510028435724,3.748524150507859e-10
3055,27/5/2018,15:51:14,51.544174,-0.032963,4.2,6.1,499,-0.3067665977708669,22.353658536585368,120.01705973940624,2.4305712671514614,5.297627314521111,4.3363011717318573e-10
3056,27/5/2018,15:51:15,51.544159,-0.03297,3.76,6.1,496,-0.3661650794877245,22.3609756097561,116.90837072163043,2.4884532127797185,5.318135519229864,4.921999116715415e-10
3057,27/5/2018,15:51:15,51.544159,-0.03297,3.76,6.0,499,-0.3067665977708669,22.368292682926832,108.7549015934133,2.389167314198168,5.266335629576409,5.414268573144413e-10
3058,27/5/2018,15:51:16,51.544136,-0.03297,4.0,6.0,501,-0.2671676099596285,22.375609756097564,100.60143246519615,2.2898814156166174,5.214535739922955,5.906538029573412e-10
3059,27/5/2018,15:51:16,51.544136,-0.03297,4.0,6.3,503,-0.2275686221483901,22.382926829268293,92.44796333698297,2.190595517035115,5.162735850269525,6.39880748600217e-10
3060,27/5/2018,15:51:17,51.544125,-0.032969,4.04,6.3,499,-0.3067665977708669,22.390243902439025,87.83587543411934,2.2359495240124008,5.245504001858478,5.95914057339004e-10
3061,27/5/2018,15:51:17,51.544125,-0.032969,4.04,6.7,501,-0.2671676099596285,22.397560975609757,83.85671792488208,2.3071541769760686,5.352322713918955,5.352914113709369e-10
3062,27/5/2018,15:51:18,51.544109,-0.032973,3.63,6.7,499,-0.3067665977708669,22.40487804878049,79.87756041564481,2.3783588299397365,5.459141425979432,4.746687654028698e-10
3063,27/5/2018,15:51:18,51.544109,-0.032973,3.63,7.6,503,-0.2275686221483901,22.41219512195122,77.0444715902566,2.366852397118954,5.530479684310308,4.62723309986913e-10
3064,27/5/2018,15:51:19,51.544094,-0.032974,4.22,7.6,501,-0.2671676099596285,22.419512195121953,74.76324114566837,2.315518677750286,5.584733289669509,4.742170392712664e-10
3065,27/5/2018,15:51:19,51.544094,-0.032974,4.22,7.8,503,-0.2275686221483901,22.426829268292686,72.48201070108014,2.264184958381618,5.63898689502871,4.857107685556198e-10
3066,27/5/2018,15:51:20,51.544086,-0.032975,3.7,7.8,500,-0.2869671038652477,22.434146341463418,71.1257361515265,2.257761420328158,5.692895783239933,5.169978025622928e-10
3067,27/5/2018,15:51:20,51.544086,-0.032975,3.7,7.2,504,-0.2077691282427709,22.441463414634146,70.68856334577251,2.295963821935956,5.746462136057254,5.679528672107232e-10
3068,27/5/2018,15:51:21,51.544079,-0.032977,3.65,7.2,500,-0.2869671038652477,22.44878048780488,70.2513905400183,2.334166223543773,5.800028488874601,6.189079318591786e-10
3069,27/5/2018,15:51:21,51.544079,-0.032977,3.65,6.7,502,-0.2473681160540093,22.45609756097561,70.69435670026948,2.352483903529382,5.824039004231143,6.550009413684931e-10
3070,27/5/2018,15:51:22,51.544067,-0.032987,4.43,6.7,501,-0.2671676099596285,22.463414634146343,72.93895232386761,2.3300978972464255,5.7875492240207755,6.606715772995891e-10
3071,27/5/2018,15:51:22,51.544067,-0.032987,4.43,7.1,504,-0.2077691282427709,22.470731707317075,75.18354794746574,2.3077118909634686,5.751059443810408,6.663422132306852e-10
3072,27/5/2018,15:51:23,51.544056,-0.032993,4.3,7.1,499,-0.3067665977708669,22.478048780487807,77.76427831882587,2.2956920021516996,5.714578189136366,6.563924065529697e-10
3073,27/5/2018,15:51:23,51.544056,-0.032993,4.3,7.0,501,-0.2671676099596285,22.48536585365854,82.1802912826964,2.340270709805949,5.6781434835576325,5.611555934049876e-10
3074,27/5/2018,15:51:24,51.544041,-0.032997,4.15,7.0,498,-0.3265660916764861,22.492682926829268,86.59630424656477,2.3848494174601766,5.641708777978917,4.659187802570517e-10
3075,27/5/2018,15:51:24,51.544041,-0.032997,4.15,7.8,501,-0.2671676099596285,22.5,91.0123172104353,2.429428125114426,5.605274072400185,3.7068196710906956e-10
3076,27/5/2018,15:51:25,51.544029,-0.032999,4.52,7.8,498,-0.3265660916764861,22.507317073170732,91.93871168537837,2.435496307480523,5.6127331395834235,3.8526921624822953e-10
3077,27/5/2018,15:51:25,51.544029,-0.032999,4.52,7.6,501,-0.2671676099596285,22.514634146341464,92.7989904680631,2.440834854201137,5.621023835548203,4.019372355139167e-10
3078,27/5/2018,15:51:26,51.544014,-0.033006,5.17,7.6,497,-0.3463655855821053,22.521951219512196,93.65926925074783,2.446173400921751,5.629314531512982,4.1860525477960395e-10
3079,27/5/2018,15:51:26,51.544014,-0.033006,5.17,7.5,501,-0.2671676099596285,22.52926829268293,89.91921253938338,2.433521574753171,5.575211137362857,4.0532827359940254e-10
