Count,Date,Time,Lat,Long,Speed,Altitude,GSR,normalised_gsr,time_audio,rms,centroid_hz,bandwidth_hz,flatness,2D_x,2D_y,3D_x,3D_y,3D_z
2360,27/5/2018,15:42:44,51.546875,-0.029372,4.78,11.1,500,-0.2869671038652477,17.26829268292683,86.93161066276429,2.3280980339290265,4.771535942761783,2.7077890088945597e-10,13.872886,3.783651,-2.2572222,3.3480034,10.308514
2361,27/5/2018,15:42:45,51.546867,-0.029386,4.46,11.1,499,-0.3067665977708669,17.275609756097563,92.70178249442222,2.3888529874762443,4.802232230072217,2.4410234179987227e-10,15.618107,7.906131,-3.3783805,5.067555,7.6863813
2362,27/5/2018,15:42:45,51.546867,-0.029386,4.46,11.7,500,-0.2869671038652477,17.282926829268295,90.49725117189048,2.441868248489804,4.882607935592204,2.9786302069886505e-10,13.551344,4.1814585,-1.7644373,3.5022411,9.998508
2363,27/5/2018,15:42:46,51.54686,-0.029397,4.63,11.7,497,-0.3463655855821053,17.290243902439027,88.25273729024792,2.49484470521081,4.963232717502464,3.520269856588444e-10,11.886484,11.259871,-4.6634736,2.1917129,4.7802095
2364,27/5/2018,15:42:47,51.546856,-0.029412,3.44,11.7,500,-0.2869671038652477,17.297560975609755,86.00822340860644,2.54782116193179,5.043857499412686,4.0619095061879744e-10,13.720568,3.8252225,-2.0864017,3.5183098,10.227774
2365,27/5/2018,15:42:48,51.546852,-0.029425,4.3,11.7,502,-0.2473681160540093,17.304878048780488,78.052347360407,2.4649178197225936,4.956814295832145,3.9802166244694805e-10,13.010971,-1.5657315,0.7611711,8.234611,14.369443
2366,27/5/2018,15:42:48,51.546852,-0.029425,4.3,13.9,503,-0.2275686221483901,17.31219512195122,68.8564699586571,2.3525134356113067,4.833368475346466,3.7631911968528064e-10,13.607018,-2.9183547,1.674055,8.852766,15.116443
2367,27/5/2018,15:42:49,51.546844,-0.029437,4.57,13.9,503,-0.2275686221483901,17.319512195121952,59.66059255690721,2.2401090515000197,4.709922654860788,3.5461657692361307e-10,12.604972,-4.26188,2.1807733,10.32507,14.736376
2368,27/5/2018,15:42:49,51.546844,-0.029437,4.57,14.0,505,-0.1879696343371517,17.326829268292684,51.87132486482776,2.231801636685257,4.720497091550501,3.7979876146167325e-10,9.840364,-7.0918484,4.412992,13.204803,13.564919
2369,27/5/2018,15:42:50,51.546841,-0.029452,4.5,14.0,504,-0.2077691282427709,17.334146341463416,44.84539224606935,2.2799852777363614,4.80380127134817,4.304242203529018e-10,10.5075865,-6.2506146,3.7809258,12.339735,13.9808235
2370,27/5/2018,15:42:50,51.546841,-0.029452,4.5,15.4,506,-0.1681701404315325,17.34146341463415,37.81945962731096,2.328168918787465,4.887105451145838,4.810496792441305e-10,8.610979,-7.2677855,4.806116,13.745918,12.644101
2371,27/5/2018,15:42:51,51.546841,-0.029469,4.56,15.4,506,-0.1681701404315325,17.34878048780488,32.648588425410054,2.326770498689622,5.161020634064578,7.247471641686251e-10,8.416997,-7.185488,4.8115025,13.882298,12.458486
